action,client_id_to_link,ad_account_id,ad_account_name,proposed_client_name,match_score,alternative_matches,best_page_match,currency,timezone,account_status,current_link_client_id,current_link_client_name,notes
link,699e8fbd56c639ba7f857019,act_800798932805550,ARA - Grohair Namakkal,Advanced Grohair & Gloskin Namakkal,100,Bonitaa Namakkal [699e8fc156c639ba7f8570a1] (90),,INR,Asia/Kolkata,1,,,
orphan,,act_2234562450649014,Ad GroGlo Clinic Sahakar,Advanced Grohair & Gloskin Kanchipuram,0,,Ad GroGlo Clinic Sahakar Nagar [1067412303117759] (90),INR,Asia/Kolkata,1,,,
orphan,,act_2048530445312193,Adgro(Mangalore-ADR),Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Europe/Helsinki,1,,,
orphan,,act_936398671197406,Adgro (Kottivakkam),Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_9223620000995629,Advanced Grohair & Gloskin Theni,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,1,,,
orphan,,act_1128675071941924,aradiscover_marketing,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,68de9c7b11a12187d52ace55,act_1152720669601307,Ad Grohair & Gloskin - Thanjavur,Advanced Grohair & Gloskin Thanjavur,100,Naturals Thanjavur [699e8fc056c639ba7f857089] (100),,INR,Asia/Kolkata,1,,,
review,,act_1736349583820775,Adgrohair potheri,Adgrohair mogappair,45,,,INR,Asia/Kolkata,1,,,
orphan,,act_1530002937678897,Naturals Pudukkottai Nisam Colony,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,699e8fbd56c639ba7f857019,act_29122032930717094,Adgro Hair & Skin Namakkal,Advanced Grohair & Gloskin Namakkal,90,Bonitaa Namakkal [699e8fc156c639ba7f8570a1] (45),,INR,Asia/Kolkata,1,,,
link,69a97aa2247e7fd15858839c,act_2033775213710349,Dr. Harish Root Canal Trichy,Ad Grohair Trichy - ARA,90,Ad Grohair Trichy - ARA 2 [69a97ad1247e7fd1585883a0] (90),,INR,Asia/Kolkata,1,,,
orphan,,act_1609301733311065,Shree lpd Event Media,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_1199964748318832,KRB Solar Power,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_1328252371777414,Malar Furniture,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,68de9c7b11a12187d52ace55,act_635337102609394,Hi Thanjavur,Advanced Grohair & Gloskin Thanjavur,90,Naturals Thanjavur [699e8fc056c639ba7f857089] (90),,INR,Asia/Kolkata,1,,,
orphan,,act_1686012265645760,Renaissance De Addiction,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_470559796046378,Ad Grohair Kanchi,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_1170526434525783,KRB Solar Power,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,699e8fc056c639ba7f857091,act_2037513733326188,Thanjai Friends Track call taxi,F Taxi,90,,,INR,Asia/Kolkata,1,,,
link,699e8fbf56c639ba7f857065,act_30110454405220485,MSMS School-TNJ,MSMS,90,Mahatma School [699e8fbf56c639ba7f857069] (45),,INR,Asia/Kolkata,1,,,
link,68e50563384ca91187c114e7,act_1081345390485677,MMA School-Pappanadu,MMA,90,Mahatma School [699e8fbf56c639ba7f857069] (45),,INR,Asia/Kolkata,1,,,
link,68de9c7b11a12187d52ace55,act_664881562942979,Sangeetha Chandrasekar Thanjavur ,Advanced Grohair & Gloskin Thanjavur,90,Naturals Thanjavur [699e8fc056c639ba7f857089] (90),,INR,Asia/Kolkata,1,,,
link,68deb02a11a12187d52ad0ac,act_1237523015045625,Ad Grohair & Gloskin Karaikudi,Advanced Grohair & Gloskin Karaikudi,100,,,INR,Asia/Kolkata,1,,,
orphan,,act_1081654383984575,Ad Grohair Bannerghatta - Old,Advanced Grohair & Gloskin Kanchipuram,0,,Advanced GloSkin Clinic Bannerghatta [141481662373214] (100),INR,Asia/Kolkata,1,,,
review,,act_1033197062073432,Naturals Arulanthar Nagar,Dr Edumed Anna Nagar,45,,,INR,Asia/Kolkata,1,,,
link,69a97aa2247e7fd15858839c,act_1664394640929339,Ad Grohair Trichy - ARA,Ad Grohair Trichy - ARA,100,Ad Grohair Trichy - ARA 2 [69a97ad1247e7fd1585883a0] (100),,INR,Asia/Kolkata,1,,,
link,68deb2e311a12187d52ad11e,act_766823725679265,ARA - Grohair Viluppuram,Advanced Grohair & Gloskin Viluppuram,100,,,INR,Asia/Kolkata,1,,,
orphan,,act_1692709504717045,Naturals Devakottai,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_723419560161435,ARA Technologies,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,68deb09a11a12187d52ad0bd,act_1722683291979767,Ad Grohair Chidambaram,Advanced Grohair & Gloskin Chidambaram,100,,,INR,Asia/Kolkata,1,,,
orphan,,act_1985051315636908,Tiruvanamallai,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,69a9794e247e7fd15858838a,act_655996147254587,Ad Grohair Kovilambakkam,Ad Grohair Kovilambakkam,100,,,INR,Asia/Kolkata,1,,,
link,68deb16211a12187d52ad0de,act_967896905356867,Adgrohair Dharmapuri,Advanced Grohair & Gloskin Dharmapuri,90,Adgrohair mogappair [69a979a2247e7fd158588393] (45),,INR,Asia/Kolkata,1,,,
link,699e8fc156c639ba7f8570a5,act_750708794074132,Tenziaa Salem,Tenziaa Salem,100,Bonitaa Salem [699e8fc156c639ba7f85709d] (45),,INR,Asia/Kolkata,1,,,
orphan,,act_742636508677165,New - ARA Discover Talent,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,2,,,
link,68deb1fe11a12187d52ad0f8,act_2206120013175131,Ad Grohair Dindigul - ARA,Advanced Grohair & Gloskin Dindigul,100,,,INR,Asia/Kolkata,1,,,
orphan,,act_2196550570797960,ARA - Grohair RK Salai,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
orphan,,act_1952626995561325,Tiruvannamalai ad gro ,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,3,,,
link,699e8fc156c639ba7f85709d,act_939075994912266,Bonitaa Salem ,Bonitaa Salem,100,Bonitaa Namakkal [699e8fc156c639ba7f8570a1] (45) | Tenziaa Salem [699e8fc156c639ba7f8570a5] (45),,INR,Asia/Kolkata,1,,,
orphan,,act_24297297616593857,ARA Discover Talent,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,3,,,
link,68deb3d611a12187d52ad143,act_1291692652323407,ARA - Grohair Thrissur,Advanced Grohair & Gloskin Thrissur,100,,,INR,Asia/Kolkata,1,,,
review,,act_1280811933720364,Bonitaa Pudukkottai,Bonitaa Namakkal,45,Bonitaa Salem [699e8fc156c639ba7f85709d] (45),,INR,Asia/Kolkata,1,,,
link,699e8fc056c639ba7f85708d,act_1302125614864166,ARA - Sundex Mahal ,Sundex Mahal & Apart,90,,,INR,Asia/Kolkata,1,,,
orphan,,act_1164425095520460,ARA - Grohair Kottivakkam,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Calcutta,1,,,
link,699e8fbe56c639ba7f857045,act_1899887650854660,ARA - Dr. EduMed Anna Nagar,Dr Edumed Anna Nagar,100,,,INR,Asia/Kolkata,1,,,
link,68deb41b11a12187d52ad14d,act_1234078708470234,ARA - Grohair Vellore,Advanced Grohair & Gloskin Vellore,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_868055555907742,New ARA - Ad Grohair Theni,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,2,,,
orphan,,act_778749191526502,Malar Furniture Mayiladuthurai,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f85703f,act_665862045876529,ARA - Ad Grohair Cumbum,Advanced Grohair & Gloskin Cumbum,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857049,act_1291905555999417,ARA  - TML VEG BASKET,TML,90,,,INR,Asia/Kolkata,1,,,
link,699e8fc056c639ba7f857095,act_4401605763456960,ARA - Grohair Thiruvannamalai,Advanced Grohair & Gloskin Thiruvannamalai,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857045,act_766861385918106,Dr. EduMed Anna Nagar,Dr Edumed Anna Nagar,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbf56c639ba7f857051,act_4228813784069518,ARA - Envisol  Bio Plast,Envisol,90,,,INR,Asia/Kolkata,1,,,
link,68e7a5df061e3d76f3cb10a5,act_1543617913485113,ARA - Cuddalore,Advanced Grohair & Gloskin Cuddalore,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_3706283373011864,ARA - Theni Advanced Grohair,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,2,,,
link,68deb1b211a12187d52ad0ec,act_742377521774044,Ad Grohair Kallakurichi,Advanced Grohair & Gloskin Kallakurichi,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_1114514800644321,ARA - Ad Grohair Theni,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,2,,,